#Table1
RA DEC zGAL mag_r mag_g mag_z R50_r
183.58668 41.15403 0.04910107 15.95239 16.73028 15.33009 3.609369
180.58526 36.640492 0.04902896 16.87245 17.54861 16.28541 2.641975
198.23116 38.35288 0.04909993 17.58074 18.31499 16.84966 1.913558
188.71529 16.049881 0.04892369 15.82059 16.6028 15.1294 3.191803
199.11267 14.912082 0.04962164 17.20906 17.64885 16.79992 3.078074
199.31056 13.514794 0.04987368 17.66877 17.90843 17.21876 4.127536
209.64341 35.805264 0.04991238 17.75192 18.49656 17.08696 1.519099
190.40096 13.83874 0.04933769 17.77852 18.56532 17.18147 1.36314
208.88137 38.546229 0.04983343 17.84274 18.14341 17.28036 2.978294
208.28909 38.595198 0.04967842 17.47293 18.08591 16.95535 1.821296
184.28014 40.908447 0.04892174 17.20849 17.43241 16.74297 3.648693
183.81046 40.856284 0.04921344 17.03739 17.5717 16.73035 3.545136
181.24335 40.879918 0.04951901 17.39544 17.62102 17.18958 1.421006
181.24335 40.879918 0.0495078 17.39544 17.62102 17.18958 1.421006
209.60932 37.452412 0.04964564 17.07751 17.66285 16.77212 3.742752
181.91386 40.121022 0.04943804 15.54363 15.8395 15.04823 4.190273
200.72289 41.37008 0.04958741 16.89022 17.63825 16.25605 2.40725
183.96748 41.516951 0.04897384 17.67788 17.92992 17.47192 3.217036
183.79578 41.647763 0.04969155 17.07555 17.37024 16.88304 2.680787
183.76226 41.559367 0.04936394 14.85065 15.47969 14.23899 5.976579
183.57104 41.558314 0.04930313 17.70088 18.0136 17.4391 1.74928
183.43971 41.531575 0.0494042 15.83466 16.68004 15.16426 2.904628
183.31855 41.493633 0.04944217 15.65643 16.3155 15.08654 4.206302
181.39394 43.061687 0.04885815 16.14067 16.75222 16.05359 5.904801
187.34311 42.671216 0.0490036 16.80067 17.44372 16.12269 2.278656
183.21953 14.644922 0.04897134 16.01991 16.8823 15.31589 2.141666
183.58926 14.217893 0.04986938 16.75964 17.0968 16.44687 1.765931
187.65373 13.90793 0.04913135 17.34255 18.06766 16.71668 2.669141
183.43986 19.879545 0.04877761 17.28135 17.70493 16.78452 2.590888
180.48041 19.351027 0.04879963 16.52647 17.02495 16.17376 2.940943
188.10719 19.022422 0.04958427 17.66721 18.28593 16.99819 3.023859
188.0909 18.984599 0.04979814 16.70937 17.13053 16.30872 2.951653
187.87341 19.089156 0.04948433 15.25942 16.1045 14.58492 5.096882
187.83826 19.055914 0.04905615 16.14061 16.55332 15.73335 4.507463
196.92894 23.469176 0.04914198 16.06124 16.58893 15.52934 2.932381
203.56061 22.18277 0.04945511 15.70359 16.48609 15.00922 2.53163
203.56148 22.200903 0.04910149 17.16845 17.496 16.86173 4.257657
180.20535 25.324729 0.0492483 17.4695 18.23358 16.77857 1.982559
186.96111 24.910362 0.04889146 17.42997 18.04704 16.93676 1.79687
186.1642 24.94987 0.04976231 15.28121 16.1576 14.61154 2.60231
184.13044 27.403348 0.04949876 17.06096 17.41651 16.46648 4.353319
