21.29	 1.12	 0.67	24.1
23.88	     	     	    
     	 1.16	 0.68	25.6
19.22	     	     	    
21.92	 1.41	 0.92	25.4
23.93	 1.38	 0.47	26.8
22.47	     	     	    
     	 1.57	 1.36	23.4
21.08	 1.44	 0.54	25.1
     	     	     	    
     	 0.99	 0.67	24.9
21.25	     	     	    
20.01	 3.07	 1.01	24.3
     	 0.99	 0.69	24.6
21.71	 0.99	 0.43	25.2
21.47	     	     	    
19.73	 3.65	 1.57	23.5
21.05	 1.17	 1.04	23.7
21.97	 0.82	 0.56	24.8
20.19	 1.46	 0.95	23.2
20.50	     	     	    
     	 0.90	 0.92	24.7
19.78	     	     	    
21.24	 0.97	 0.83	24.1
     	 0.77	 0.84	23.9
22.61	 1.12	 0.68	25.6
     	 0.88	 1.01	24.5
20.02	 2.34	 1.87	22.9
20.21	     	     	    
20.91	 1.64	 0.84	24.1
20.62	     	     	    
20.77	 1.48	 0.74	24.3
     	 1.11	 0.63	25.0
21.61	     	     	    
     	 3.03	 0.97	24.7
21.21	 1.61	 1.98	23.7
20.78	 1.25	 0.90	23.8
20.50	 1.52	 0.99	23.8
21.56	     	     	    
20.80	 1.66	 1.39	23.9
20.72	 2.24	 2.50	23.2
     	 1.63	 1.15	25.0
21.87	 1.03	 0.67	24.6
     	 1.44	 1.24	24.4
     	     	     	    
     	 1.61	 0.75	25.3
23.15	 0.66	 1.48	24.9
22.13	 1.12	 0.72	25.4
21.85	 1.11	 0.98	24.3
22.26	 1.38	 0.46	25.9
19.60	     	     	    
20.71	     	     	    
     	 1.17	 0.91	24.2
20.43	 1.46	 0.95	23.8
     	 2.56	 1.29	23.6
22.92	     	     	    
20.69	 1.46	 0.96	24.0
20.80	 1.38	 1.62	23.4
20.81	 1.35	 0.57	24.3
22.57	     	     	    
22.60	 0.95	 0.47	25.7
21.00	 1.19	 0.98	23.9
20.00	 1.34	 0.93	23.3
     	 1.11	 1.27	26.0
     	     	     	    
     	 1.93	 1.43	24.3
     	 0.77	 0.45	24.3
     	 0.70	 0.75	24.0
     	 2.31	 0.91	25.4
19.94	 1.72	 1.67	22.9
22.33	     	     	    
19.70	 2.85	 1.89	23.0
22.85	 0.82	 0.48	25.5
20.30	 2.27	 1.03	24.1
21.35	     	     	    
     	 1.67	 0.80	24.3
21.88	 0.88	 0.57	24.7
21.86	 0.84	 1.06	24.2
     	 0.98	 0.82	24.6
22.32	 1.10	 0.60	25.7
     	 2.93	 1.46	24.4
21.31	 1.62	 0.73	24.9
20.35	 1.58	 0.89	23.9
19.67	     	     	    
     	 1.87	 0.90	24.5
22.78	     	     	    
21.49	 1.34	 0.95	24.3
21.53	 0.77	 0.64	24.3
22.82	 1.36	 0.83	25.6
21.27	 3.11	 2.71	23.9
