SMDG1249412+270647 192.4217072 27.1130219 24.6 24.5 24.3 0.1 0.1 0.2  9.0  0.3 0.86 0.02 121   6 19.6 19.5 19.5 0.1 0.1 0.1 
SMDG1251014+274753 192.7556305 27.7980328 24.5 24.0 23.6 0.1 0.1 0.1  9.6  0.2 0.73 0.01  53   2 19.1 18.7 18.4 0.1 0.1 0.1 
SMDG1251397+263237 192.9154053 26.5436859 25.5 24.8 24.3 0.2 0.3 0.4  8.6  0.6 0.74 0.04 115   8 20.3 20.1 19.3 0.1 0.1 0.2 
SMDG1251422+274025 192.9258728 27.6735554 25.5 25.0 24.2 0.3 0.4 0.8  5.7  0.6 0.81 0.07 159  15 21.5 21.2 20.1 0.1 0.1 1.7 
SMDG1251452+263720 192.9382172 26.6223011 25.3 25.1 24.7 0.4 0.7 0.6  6.3  0.7 0.47 0.04 125   5 21.4  0.0 20.9 0.2 0.0 0.2 
SMDG1251456+305430 192.9399567 30.9084606 24.9 24.6 25.1 0.3 0.4 0.7  5.3  0.5 0.70 0.05 134   8 21.5 21.4 18.5 0.1 0.1 3.4 
SMDG1251519+272715 192.9663086 27.4540691 25.5 24.8 24.1 0.2 0.3 0.3  6.6  0.4 0.78 0.04 108   8 18.2 20.8 20.4 1.0 0.1 0.1 
SMDG1252312+273210 193.1300659 27.5361118 24.4 24.0 23.7 0.1 0.1 0.2  6.8  0.2 0.79 0.02 180   4 19.8 19.4 17.4 0.1 0.1 0.6 
SMDG1253048+253122 193.2699280 25.5229130 24.7 24.4 23.8 0.1 0.1 0.2 12.0  0.3 0.51 0.01 153   1 19.4 19.1 18.3 0.1 0.1 0.2 
SMDG1253151+274115 193.3130951 27.6874828 24.2 24.0 23.2 0.1 0.1 0.1  6.6  0.1 0.77 0.01  29   3 19.5 19.5 18.8 0.1 0.1 0.1 
SMDG1253392+271237 193.4133148 27.2102432 24.0 23.5 23.0 0.1 0.1 0.1  5.4  0.1 0.43 0.01 166   1 20.4 20.0 19.6 0.1 0.1 0.1 
SMDG1253452+271141 193.4385376 27.1948395 24.0 23.5 23.1 0.1 0.1 0.2  5.3  0.2 0.44 0.01  18   1 20.3 20.0 19.8 0.1 0.1 0.1 
SMDG1253489+273934 193.4536133 27.6594639 24.5 24.1 23.5 0.1 0.1 0.1 10.1  0.2 0.88 0.02  41   5 19.1 18.7 18.0 0.1 0.1 0.1 
SMDG1254251+194332 193.6047516 19.7255116 24.3 23.9 23.5 0.1 0.1 0.1 14.9  0.3 0.89 0.01  64   3 18.1 17.6 17.6 0.1 0.1 0.1 
SMDG1254345+274046 193.6437988 27.6794872 25.3 25.1 24.4 0.3 0.4 0.5  7.4  0.6 0.73 0.05  77   9 20.9 20.5 20.5 0.1 0.1 0.1 
SMDG1254368+284902 193.6534729 28.8171005 24.4 23.9 23.5 0.2 0.2 0.2  5.4  0.2 0.48 0.02  16   2 20.8 20.4 19.9 0.1 0.1 0.1 
