Filename_corr,RA_corr,dec_corr,Rearcsec,AR,n,mu_0_g,mu_0_z,mag_g,tau,WISE,classALL
SMDG0154017-000248,28.50704,-0.04667,6.43,0.599,0.853,23.097,22.461,18.498,0.02208,0.04711,3
SMDG0234121-001217,38.55059,-0.20479,8.75,0.808,1.291,22.891,22.219,18.049,0.02119,0.04321,3
SMDG0150495-004942,27.70642,-0.82829,8.06,0.578,0.853,23.435,22.639,18.384,0.0177,0.038,3
SMDG0249221-011134,42.34223,-1.19284,7.76,0.67,1.559,23.123,21.939,19.233,0.04245,0.06267,3
SMDG0143460+030649,25.94185,3.11367,5.03,0.829,0.622,23.361,22.745,18.586,0.02673,0.03326,3
SMDG0153093+030234,28.28872,3.04273,4.47,0.391,0.606,23.431,22.831,19.705,0.02284,0.03263,3
SMDG0204245-020832,31.10206,-2.14215,6.19,0.672,0.573,23.87,23.246,18.802,0.01226,0.03351,3
SMDG0237361+015905,39.40043,1.98466,6.9,0.562,1.025,23.802,22.713,19.405,0.02168,0.00591,3
SMDG0249201-025439,42.33384,-2.91092,4.52,0.758,0.685,23.589,22.911,19.236,0.04242,0.04467,3
SMDG0211534-020314,32.97238,-2.05379,6.38,0.821,1.304,23.22,22.464,19.07,0.01959,0.04241,3
SMDG0233391+014211,38.41309,1.70307,6.09,0.698,0.91,23.321,23.112,18.767,0.0219,0.03916,3
SMDG0246270+002020,41.61235,0.33886,5.91,0.857,1.283,23.26,22.463,19.192,0.03187,0.05633,3
SMDG0247590+015548,41.99567,1.93014,9.5,0.837,0.941,23.994,23.471,18.329,0.0389,0.04338,3
SMDG0205272+021042,31.3634,2.17836,6.56,0.64,1.401,23.261,22.546,19.496,0.02687,0.03692,3
SMDG0228190-003630,37.07902,-0.6083,17.52,0.823,0.782,23.911,23.251,16.677,0.01696,0.03826,3
SMDG0242025-003441,40.51056,-0.57813,7.37,0.86,0.982,23.341,22.73,18.266,0.02777,0.0247,3
SMDG0226119-003904,36.54943,-0.65106,6.54,0.994,0.885,23.103,22.123,17.969,0.02261,0.04584,3
SMDG0225491-002335,36.45449,-0.393,7.35,0.485,1.469,22.884,22.381,19.297,0.02221,0.03432,3
SMDG0158072+005241,29.52981,0.87794,7.45,0.655,1.067,23.618,23.11,18.96,0.01258,0.03103,3
SMDG0235001-011337,38.75045,-1.22707,6.18,0.758,1.059,23.107,22.427,18.682,0.01827,0.03318,3
SMDG0152537-020308,28.22377,-2.05227,5.58,0.44,1.117,23.032,22.505,19.52,0.01473,0.03053,3
SMDG0240090-005443,40.03762,-0.91197,7.98,0.792,1.119,23.521,22.907,18.597,0.02564,0.06216,3
SMDG0247062+012834,41.77563,1.47621,4.9,0.536,0.826,23.288,22.556,19.356,0.04117,0.09745,3
SMDG0208254+012504,32.10589,1.41774,7.76,0.904,1.364,22.873,22.035,18.301,0.03094,0.07667,3
